hypocenter_type	quality	year	month	day	hour	minute	second	latitude	longitude	depth	magnitude_1	magnitude_2	region	eventname
SWEM	A	2005	8	18	1	39	4.00	76.2500	-60.2500	10.0	0.0	4.8	WESTERNGREENLAND	200508180139A

SWEM	B	2005	8	20	7	54	40.00	66.5000	-37.5000	10.0	0.0	4.8	EASTERNGREENLAND	200508200754A

SWEM	C	2005	8	28	20	33	28.00	72.7500	-54.7500	10.0	0.0	4.8	WESTERNGREENLAND	200508282033A

SWEM	C	2005	9	18	15	2	0.00	68.5000	-34.5000	10.0	0.0	4.7	EASTERNGREENLAND	200509181502B

SWEM	A	2005	9	20	10	7	36.00	69.7500	-32.2500	10.0	0.0	5.0	EASTERNGREENLAND	200509201007A

SWEM	C	2005	9	21	21	40	24.00	75.7500	-54.7500	10.0	0.0	4.7	WESTERNGREENLAND	200509212140A

SWEM	C	2005	9	22	6	28	24.00	76.0000	-62.0000	10.0	0.0	4.9	WESTERNGREENLAND	200509220628A

SWEM	C	2005	9	27	22	10	32.00	74.7500	-64.2500	10.0	0.0	5.0	BAFFINBAY	200509272210A

SWEM	C	2005	10	10	20	15	12.00	74.7500	-56.2500	10.0	0.0	4.8	WESTERNGREENLAND	200510102015A

SWEM	B	2005	10	12	2	44	48.00	65.2500	-41.2500	10.0	0.0	4.7	WESTERNGREENLAND	200510120244A

SWEM	B	2005	10	17	4	54	0.00	75.5000	-60.5000	10.0	0.0	4.9	BAFFINBAY	200510170454A

SWEM	C	2005	11	9	18	41	44.00	69.2500	-33.7500	10.0	0.0	4.8	EASTERNGREENLAND	200511091841A

SWEM	C	2006	2	13	20	29	52.00	70.2500	-30.7500	10.0	0.0	4.8	EASTERNGREENLAND	200602132029A

SWEM	A	2006	2	28	22	44	32.00	69.0000	-33.0000	10.0	0.0	4.8	EASTERNGREENLAND	200602282244A

SWEM	B	2006	3	4	23	5	20.00	65.7500	-41.2500	10.0	0.0	4.7	WESTERNGREENLAND	200603042305A

SWEM	B	2006	4	29	11	39	12.00	65.2500	-41.2500	10.0	0.0	4.8	WESTERNGREENLAND	200604291139A

SWEM	A	2006	5	1	6	44	32.00	72.2500	-52.7500	10.0	0.0	4.9	WESTERNGREENLAND	200605010644A

SWEQ	C	2006	6	11	14	53	36.00	69.2500	-49.7500	10.0	0.0	4.8	WESTERNGREENLAND	200606111453A

SWEM	E	2006	6	24	10	48	32.00	69.2500	-49.7500	10.0	0.0	4.7	WESTERNGREENLAND	200606241048A

SWEM	A	2006	7	10	18	13	36.00	65.2500	-40.7500	10.0	0.0	4.8	WESTERNGREENLAND	200607101813A

SWEM	C	2006	7	16	3	15	28.00	69.0000	-31.0000	10.0	0.0	4.6	EASTERNGREENLAND	200607160315A

SWEM	C	2006	7	16	6	41	52.00	73.2500	-53.2500	10.0	0.0	4.7	WESTERNGREENLAND	200607160641A

